WindowID	Chr	Start	End	First_Gene	Last_Gene	N_Genes	N_genes_TMHMM	N_Genes_Single_TMHMM	Per_genes_TMHMM	Per_Genes_Single_TMHMM	Warning_Truncated_Window	Annot_source
1860	CM074203.1	20500001	22500000	BgiBS90_002363	BgiBS90_006051	73	16	2	21.9%	2.7%	.	iBS90_Bu
1861	CM074203.1	21000001	23000000	BgiBS90_002384	BgiBS90_024131	72	17	3	23.6%	4.2%	.	iBS90_Bu
1862	CM074203.1	21500001	23500000	BgiBS90_002405	BgiBS90_024131	69	16	3	23.2%	4.3%	.	iBS90_Bu
1863	CM074203.1	22000001	24000000	BgiBS90_002424	BgiBS90_024131	67	19	6	28.4%	9%	.	iBS90_Bu
1864	CM074203.1	22500001	24500000	BgiBS90_002445	BgiBS90_024131	73	20	9	27.4%	12.3%	.	iBS90_Bu
1865	CM074203.1	23000001	25000000	BgiBS90_002471	BgiBS90_008973	72	21	9	29.2%	12.5%	.	iBS90_Bu
1866	CM074203.1	23500001	25500000	BgiBS90_002488	BgiBS90_013448	83	23	9	27.7%	10.8%	.	iBS90_Bu
1867	CM074203.1	24000001	26000000	BgiBS90_002511	BgiBS90_013448	81	18	5	22.2%	6.2%	.	iBS90_Bu
1868	CM074203.1	24500001	26500000	BgiBS90_002537	BgiBS90_029705	77	16	4	20.8%	5.2%	.	iBS90_Bu
1869	CM074203.1	25000001	27000000	BgiBS90_001919	BgiBS90_029705	74	10	2	13.5%	2.7%	.	iBS90_Bu
1870	CM074203.1	25500001	27500000	BgiBS90_001919	BgiBS90_034414	71	6	2	8.5%	2.8%	.	iBS90_Bu
1871	CM074203.1	26000001	28000000	BgiBS90_001919	BgiBS90_034414	74	9	5	12.2%	6.8%	.	iBS90_Bu
1872	CM074203.1	26500001	28500000	BgiBS90_001919	BgiBS90_034414	78	13	6	16.7%	7.7%	.	iBS90_Bu
1873	CM074203.1	27000001	29000000	BgiBS90_002646	BgiBS90_036626	82	17	8	20.7%	9.8%	.	iBS90_Bu
1874	CM074203.1	27500001	29500000	BgiBS90_002666	BgiBS90_036626	82	22	12	26.8%	14.6%	.	iBS90_Bu
1875	CM074203.1	28000001	30000000	BgiBS90_002687	BgiBS90_036626	83	19	9	22.9%	10.8%	.	iBS90_Bu
1876	CM074203.1	28500001	30500000	BgiBS90_002711	BgiBS90_036626	75	18	8	24%	10.7%	.	iBS90_Bu
1877	CM074203.1	29000001	31000000	BgiBS90_002731	BgiBS90_029558	69	13	6	18.8%	8.7%	.	iBS90_Bu
1878	CM074203.1	29500001	31500000	BgiBS90_002753	BgiBS90_029558	68	11	3	16.2%	4.4%	.	iBS90_Bu
1879	CM074203.1	30000001	32000000	BgiBS90_002772	BgiBS90_030355	69	13	6	18.8%	8.7%	.	iBS90_Bu
1880	CM074203.1	30500001	32500000	BgiBS90_002797	BgiBS90_034526	88	24	10	27.3%	11.4%	.	iBS90_Bu
1881	CM074203.1	31000001	33000000	BgiBS90_002816	BgiBS90_034544	91	31	13	34.1%	14.3%	.	iBS90_Bu
1882	CM074203.1	31500001	33500000	BgiBS90_002838	BgiBS90_034558	85	29	14	34.1%	16.5%	.	iBS90_Bu
1883	CM074203.1	32000001	34000000	BgiBS90_002859	BgiBS90_034575	79	29	12	36.7%	15.2%	.	iBS90_Bu
1884	CM074203.1	32500001	34500000	BgiBS90_030079	BgiBS90_034604	66	18	8	27.3%	12.1%	.	iBS90_Bu
1885	CM074203.1	33000001	35000000	BgiBS90_030079	BgiBS90_034625	70	14	4	20%	5.7%	.	iBS90_Bu
1886	CM074203.1	33500001	35500000	BgiBS90_034562	BgiBS90_034640	67	15	3	22.4%	4.5%	.	iBS90_Bu
1887	CM074203.1	34000001	36000000	BgiBS90_034575	BgiBS90_034665	70	13	2	18.6%	2.9%	.	iBS90_Bu
1888	CM074203.1	34500001	36500000	BgiBS90_021396	BgiBS90_036109	61	10	2	16.4%	3.3%	.	iBS90_Bu
1889	CM074203.1	35000001	37000000	BgiBS90_021396	BgiBS90_036109	63	6	2	9.5%	3.2%	.	iBS90_Bu
1890	CM074203.1	35500001	37500000	BgiBS90_005136	BgiBS90_036600	68	6	2	8.8%	2.9%	.	iBS90_Bu
1891	CM074203.1	36000001	38000000	BgiBS90_005136	BgiBS90_036618	68	7	3	10.3%	4.4%	.	iBS90_Bu
1892	CM074203.1	36500001	38500000	BgiBS90_001813	BgiBS90_036629	66	7	2	10.6%	3%	.	iBS90_Bu
1893	CM074203.1	37000001	39000000	BgiBS90_001813	BgiBS90_037993	59	13	2	22%	3.4%	.	iBS90_Bu
1894	CM074203.1	37500001	39500000	BgiBS90_001813	BgiBS90_037993	66	21	2	31.8%	3%	.	iBS90_Bu
1895	CM074203.1	38000001	40000000	BgiBS90_001813	BgiBS90_037993	62	21	3	33.9%	4.8%	.	iBS90_Bu
1896	CM074203.1	38500001	40500000	BgiBS90_000273	BgiBS90_037993	73	20	3	27.4%	4.1%	.	iBS90_Bu
1897	CM074203.1	39000001	41000000	BgiBS90_000273	BgiBS90_037819	79	18	7	22.8%	8.9%	.	iBS90_Bu
1898	CM074203.1	39500001	41500000	BgiBS90_000273	BgiBS90_037819	73	13	8	17.8%	11%	.	iBS90_Bu
1899	CM074203.1	40000001	42000000	BgiBS90_000273	BgiBS90_033671	74	10	6	13.5%	8.1%	.	iBS90_Bu
1900	CM074203.1	40500001	42500000	BgiBS90_004151	BgiBS90_033671	59	10	7	16.9%	11.9%	.	iBS90_Bu
1901	CM074203.1	41000001	43000000	BgiBS90_004174	BgiBS90_030275	53	9	3	17%	5.7%	.	iBS90_Bu
1902	CM074203.1	41500001	43500000	BgiBS90_004193	BgiBS90_005108	52	6	2	11.5%	3.8%	.	iBS90_Bu
1903	CM074203.1	42000001	44000000	BgiBS90_004211	BgiBS90_029048	64	14	3	21.9%	4.7%	.	iBS90_Bu
1904	CM074203.1	42500001	44500000	BgiBS90_004220	BgiBS90_029048	75	14	3	18.7%	4%	.	iBS90_Bu
1905	CM074203.1	43000001	45000000	BgiBS90_004234	BgiBS90_029048	86	15	4	17.4%	4.7%	.	iBS90_Bu
1906	CM074203.1	43500001	45500000	BgiBS90_000901	BgiBS90_029048	91	16	5	17.6%	5.5%	.	iBS90_Bu
1907	CM074203.1	44000001	46000000	BgiBS90_000901	BgiBS90_017047	86	9	4	10.5%	4.7%	.	iBS90_Bu
1908	CM074203.1	44500001	46500000	BgiBS90_000901	BgiBS90_004404	88	11	5	12.5%	5.7%	.	iBS90_Bu
1909	CM074203.1	45000001	47000000	BgiBS90_000901	BgiBS90_004422	76	10	4	13.2%	5.3%	.	iBS90_Bu
1910	CM074203.1	45500001	47500000	BgiBS90_004074	BgiBS90_004431	60	9	4	15%	6.7%	.	iBS90_Bu
1911	CM074203.1	46000001	48000000	BgiBS90_004074	BgiBS90_038235	55	9	5	16.4%	9.1%	.	iBS90_Bu
1912	CM074203.1	46500001	48500000	BgiBS90_004074	BgiBS90_038235	55	11	4	20%	7.3%	.	iBS90_Bu
1913	CM074203.1	47000001	49000000	BgiBS90_002638	BgiBS90_038494	62	11	5	17.7%	8.1%	.	iBS90_Bu
1914	CM074203.1	47500001	49500000	BgiBS90_002638	BgiBS90_038494	75	13	4	17.3%	5.3%	.	iBS90_Bu
1915	CM074203.1	48000001	50000000	BgiBS90_002638	BgiBS90_038494	79	20	6	25.3%	7.6%	.	iBS90_Bu
1916	CM074203.1	48500001	50500000	BgiBS90_000480	BgiBS90_038494	84	20	7	23.8%	8.3%	.	iBS90_Bu
1917	CM074203.1	49000001	51000000	BgiBS90_000480	BgiBS90_035883	85	23	9	27.1%	10.6%	.	iBS90_Bu
1918	CM074203.1	49500001	51500000	BgiBS90_000480	BgiBS90_035883	94	32	9	34%	9.6%	.	iBS90_Bu
1919	CM074203.1	50000001	52000000	BgiBS90_000480	BgiBS90_035883	100	26	7	26%	7%	.	iBS90_Bu
1920	CM074203.1	50500001	52500000	BgiBS90_004569	BgiBS90_035747	94	28	8	29.8%	8.5%	.	iBS90_Bu
1921	CM074203.1	51000001	53000000	BgiBS90_004610	BgiBS90_036091	93	24	7	25.8%	7.5%	.	iBS90_Bu
1922	CM074203.1	51500001	53500000	BgiBS90_004640	BgiBS90_036137	93	14	7	15.1%	7.5%	.	iBS90_Bu
1923	CM074203.1	52000001	54000000	BgiBS90_004663	BgiBS90_036137	104	21	11	20.2%	10.6%	.	iBS90_Bu
1924	CM074203.1	52500001	54500000	BgiBS90_004688	BgiBS90_036137	107	21	9	19.6%	8.4%	.	iBS90_Bu
1925	CM074203.1	53000001	55000000	BgiBS90_004710	BgiBS90_036137	124	25	9	20.2%	7.3%	.	iBS90_Bu
1926	CM074203.1	53500001	55500000	BgiBS90_004739	BgiBS90_019226	138	33	8	23.9%	5.8%	.	iBS90_Bu
1927	CM074203.1	54000001	56000000	BgiBS90_004779	BgiBS90_010315	121	30	6	24.8%	5%	.	iBS90_Bu
1928	CM074203.1	54500001	56500000	BgiBS90_004800	BgiBS90_010315	123	31	10	25.2%	8.1%	.	iBS90_Bu
1929	CM074203.1	55000001	57000000	BgiBS90_004847	BgiBS90_010315	97	27	9	27.8%	9.3%	.	iBS90_Bu
1930	CM074203.1	55500001	57500000	BgiBS90_004831	BgiBS90_004990	79	20	9	25.3%	11.4%	.	iBS90_Bu
1931	CM074203.1	56000001	58000000	BgiBS90_004831	BgiBS90_005015	84	18	10	21.4%	11.9%	.	iBS90_Bu
1932	CM074203.1	56500001	58500000	BgiBS90_004831	BgiBS90_005041	85	22	14	25.9%	16.5%	.	iBS90_Bu
1933	CM074203.1	57000001	59000000	BgiBS90_004831	BgiBS90_005060	89	25	14	28.1%	15.7%	.	iBS90_Bu
1934	CM074203.1	57500001	59500000	BgiBS90_004990	BgiBS90_005083	86	23	13	26.7%	15.1%	.	iBS90_Bu
1935	CM074203.1	58000001	60000000	BgiBS90_005015	BgiBS90_005105	85	27	9	31.8%	10.6%	.	iBS90_Bu
1936	CM074203.1	58500001	60500000	BgiBS90_005042	BgiBS90_023841	85	27	2	31.8%	2.4%	.	iBS90_Bu
1937	CM074203.1	59000001	61000000	BgiBS90_004673	BgiBS90_023841	89	29	3	32.6%	3.4%	.	iBS90_Bu
1938	CM074203.1	59500001	61500000	BgiBS90_004673	BgiBS90_023841	84	31	4	36.9%	4.8%	.	iBS90_Bu
1939	CM074203.1	60000001	62000000	BgiBS90_002972	BgiBS90_023841	85	27	5	31.8%	5.9%	.	iBS90_Bu
1940	CM074203.1	60500001	62500000	BgiBS90_002972	BgiBS90_031634	94	30	7	31.9%	7.4%	.	iBS90_Bu
1941	CM074203.1	61000001	63000000	BgiBS90_001962	BgiBS90_031634	97	29	7	29.9%	7.2%	.	iBS90_Bu
1942	CM074203.1	61500001	63500000	BgiBS90_001962	BgiBS90_031634	98	28	9	28.6%	9.2%	.	iBS90_Bu
1943	CM074203.1	62000001	64000000	BgiBS90_001962	BgiBS90_031634	98	36	9	36.7%	9.2%	.	iBS90_Bu
1944	CM074203.1	62500001	64500000	BgiBS90_001962	BgiBS90_035507	77	23	6	29.9%	7.8%	.	iBS90_Bu
1945	CM074203.1	63000001	65000000	BgiBS90_004546	BgiBS90_035507	91	42	7	46.2%	7.7%	.	iBS90_Bu
1946	CM074203.1	63500001	65500000	BgiBS90_004546	BgiBS90_035507	109	51	5	46.8%	4.6%	.	iBS90_Bu
1947	CM074203.1	64000001	66000000	BgiBS90_004546	BgiBS90_036684	113	46	6	40.7%	5.3%	.	iBS90_Bu
1948	CM074203.1	64500001	66500000	BgiBS90_005328	BgiBS90_037939	120	48	6	40%	5%	.	iBS90_Bu
1949	CM074203.1	65000001	67000000	BgiBS90_005369	BgiBS90_037939	101	23	3	22.8%	3%	X	iBS90_Bu
1950	CM074204.1	1	2000000	BgiBS90_001274	BgiBS90_038111	75	10	4	13.3%	5.3%	.	iBS90_Bu
1951	CM074204.1	500001	2500000	BgiBS90_010322	BgiBS90_026710	70	11	4	15.7%	5.7%	.	iBS90_Bu
1952	CM074204.1	1000001	3000000	BgiBS90_010339	BgiBS90_026710	73	10	4	13.7%	5.5%	.	iBS90_Bu
1953	CM074204.1	1500001	3500000	BgiBS90_010365	BgiBS90_026710	78	13	8	16.7%	10.3%	.	iBS90_Bu
1954	CM074204.1	2000001	4000000	BgiBS90_010383	BgiBS90_010480	77	12	6	15.6%	7.8%	.	iBS90_Bu
1955	CM074204.1	2500001	4500000	BgiBS90_010410	BgiBS90_010507	81	14	8	17.3%	9.9%	.	iBS90_Bu
1956	CM074204.1	3000001	5000000	BgiBS90_010431	BgiBS90_015155	87	17	8	19.5%	9.2%	.	iBS90_Bu
1957	CM074204.1	3500001	5500000	BgiBS90_008263	BgiBS90_034912	84	13	4	15.5%	4.8%	.	iBS90_Bu
1958	CM074204.1	4000001	6000000	BgiBS90_006116	BgiBS90_036436	95	13	6	13.7%	6.3%	.	iBS90_Bu
1959	CM074204.1	4500001	6500000	BgiBS90_006116	BgiBS90_036436	88	9	4	10.2%	4.5%	.	iBS90_Bu
1960	CM074204.1	5000001	7000000	BgiBS90_006116	BgiBS90_036436	88	9	5	10.2%	5.7%	.	iBS90_Bu
1961	CM074204.1	5500001	7500000	BgiBS90_006116	BgiBS90_036436	83	10	8	12%	9.6%	.	iBS90_Bu
1962	CM074204.1	6000001	8000000	BgiBS90_010577	BgiBS90_017369	85	25	11	29.4%	12.9%	.	iBS90_Bu
1963	CM074204.1	6500001	8500000	BgiBS90_010595	BgiBS90_017369	90	40	11	44.4%	12.2%	.	iBS90_Bu
1964	CM074204.1	7000001	9000000	BgiBS90_010619	BgiBS90_026515	84	38	9	45.2%	10.7%	.	iBS90_Bu
1965	CM074204.1	7500001	9500000	BgiBS90_010634	BgiBS90_026515	87	38	6	43.7%	6.9%	.	iBS90_Bu
1966	CM074204.1	8000001	10000000	BgiBS90_010670	BgiBS90_026515	75	23	2	30.7%	2.7%	.	iBS90_Bu
1967	CM074204.1	8500001	10500000	BgiBS90_006387	BgiBS90_026515	73	11	3	15.1%	4.1%	.	iBS90_Bu
1968	CM074204.1	9000001	11000000	BgiBS90_006387	BgiBS90_010791	74	12	3	16.2%	4.1%	.	iBS90_Bu
1969	CM074204.1	9500001	11500000	BgiBS90_001709	BgiBS90_016062	88	21	3	23.9%	3.4%	.	iBS90_Bu
1970	CM074204.1	10000001	12000000	BgiBS90_001709	BgiBS90_034797	93	22	3	23.7%	3.2%	.	iBS90_Bu
1971	CM074204.1	10500001	12500000	BgiBS90_001709	BgiBS90_034797	88	23	6	26.1%	6.8%	.	iBS90_Bu
1972	CM074204.1	11000001	13000000	BgiBS90_001709	BgiBS90_034902	91	20	6	22%	6.6%	.	iBS90_Bu
1973	CM074204.1	11500001	13500000	BgiBS90_009108	BgiBS90_034902	87	10	6	11.5%	6.9%	.	iBS90_Bu
1974	CM074204.1	12000001	14000000	BgiBS90_009108	BgiBS90_034902	92	9	6	9.8%	6.5%	.	iBS90_Bu
1975	CM074204.1	12500001	14500000	BgiBS90_009108	BgiBS90_034902	105	6	3	5.7%	2.9%	.	iBS90_Bu
1976	CM074204.1	13000001	15000000	BgiBS90_009693	BgiBS90_011009	106	6	3	5.7%	2.8%	.	iBS90_Bu
1977	CM074204.1	13500001	15500000	BgiBS90_010932	BgiBS90_011028	97	11	6	11.3%	6.2%	.	iBS90_Bu
1978	CM074204.1	14000001	16000000	BgiBS90_010960	BgiBS90_011077	118	9	5	7.6%	4.2%	.	iBS90_Bu
1979	CM074204.1	14500001	16500000	BgiBS90_010989	BgiBS90_011094	106	10	5	9.4%	4.7%	.	iBS90_Bu
1980	CM074204.1	15000001	17000000	BgiBS90_011010	BgiBS90_038446	115	15	8	13%	7%	.	iBS90_Bu
1981	CM074204.1	15500001	17500000	BgiBS90_011029	BgiBS90_038446	131	11	4	8.4%	3.1%	.	iBS90_Bu
1982	CM074204.1	16000001	18000000	BgiBS90_011078	BgiBS90_038446	103	13	6	12.6%	5.8%	.	iBS90_Bu
1983	CM074204.1	16500001	18500000	BgiBS90_011094	BgiBS90_038446	112	17	7	15.2%	6.2%	.	iBS90_Bu
1984	CM074204.1	17000001	19000000	BgiBS90_011123	BgiBS90_028657	103	15	7	14.6%	6.8%	.	iBS90_Bu
1985	CM074204.1	17500001	19500000	BgiBS90_011159	BgiBS90_028657	92	17	7	18.5%	7.6%	.	iBS90_Bu
1986	CM074204.1	18000001	20000000	BgiBS90_011180	BgiBS90_028657	104	17	5	16.3%	4.8%	.	iBS90_Bu
1987	CM074204.1	18500001	20500000	BgiBS90_011204	BgiBS90_028657	141	11	3	7.8%	2.1%	.	iBS90_Bu
1988	CM074204.1	19000001	21000000	BgiBS90_011225	BgiBS90_021219	153	12	4	7.8%	2.6%	.	iBS90_Bu
1989	CM074204.1	19500001	21500000	BgiBS90_011248	BgiBS90_011398	151	13	5	8.6%	3.3%	.	iBS90_Bu
1990	CM074204.1	20000001	22000000	BgiBS90_011281	BgiBS90_011445	165	16	7	9.7%	4.2%	.	iBS90_Bu
1991	CM074204.1	20500001	22500000	BgiBS90_011342	BgiBS90_011472	131	17	7	13%	5.3%	.	iBS90_Bu
1992	CM074204.1	21000001	23000000	BgiBS90_011377	BgiBS90_011504	128	18	6	14.1%	4.7%	.	iBS90_Bu
1993	CM074204.1	21500001	23500000	BgiBS90_011398	BgiBS90_019138	127	13	5	10.2%	3.9%	.	iBS90_Bu
1994	CM074204.1	22000001	24000000	BgiBS90_011446	BgiBS90_019138	94	6	3	6.4%	3.2%	.	iBS90_Bu
1995	CM074204.1	22500001	24500000	BgiBS90_011473	BgiBS90_019138	84	6	3	7.1%	3.6%	.	iBS90_Bu
1996	CM074204.1	23000001	25000000	BgiBS90_011505	BgiBS90_019138	63	2	0	3.2%	0%	.	iBS90_Bu
1997	CM074204.1	23500001	25500000	BgiBS90_011524	BgiBS90_025959	53	3	1	5.7%	1.9%	.	iBS90_Bu
1998	CM074204.1	24000001	26000000	BgiBS90_000336	BgiBS90_038062	49	4	2	8.2%	4.1%	.	iBS90_Bu
1999	CM074204.1	24500001	26500000	BgiBS90_000336	BgiBS90_038062	45	4	2	8.9%	4.4%	.	iBS90_Bu
2000	CM074204.1	25000001	27000000	BgiBS90_000336	BgiBS90_038062	71	8	5	11.3%	7%	.	iBS90_Bu
2001	CM074204.1	25500001	27500000	BgiBS90_000336	BgiBS90_038062	87	10	5	11.5%	5.7%	.	iBS90_Bu
2002	CM074204.1	26000001	28000000	BgiBS90_001555	BgiBS90_034039	101	12	5	11.9%	5%	.	iBS90_Bu
2003	CM074204.1	26500001	28500000	BgiBS90_033913	BgiBS90_034026	114	18	10	15.8%	8.8%	.	iBS90_Bu
2004	CM074204.1	27000001	29000000	BgiBS90_033895	BgiBS90_033989	92	13	7	14.1%	7.6%	.	iBS90_Bu
2005	CM074204.1	27500001	29500000	BgiBS90_033870	BgiBS90_033964	86	14	9	16.3%	10.5%	.	iBS90_Bu
2006	CM074204.1	28000001	30000000	BgiBS90_004263	BgiBS90_033940	97	15	10	15.5%	10.3%	.	iBS90_Bu
2007	CM074204.1	28500001	30500000	BgiBS90_004263	BgiBS90_033913	90	12	6	13.3%	6.7%	.	iBS90_Bu
2008	CM074204.1	29000001	31000000	BgiBS90_004263	BgiBS90_038285	87	16	7	18.4%	8%	.	iBS90_Bu
2009	CM074204.1	29500001	31500000	BgiBS90_004263	BgiBS90_038285	87	14	4	16.1%	4.6%	.	iBS90_Bu
2010	CM074204.1	30000001	32000000	BgiBS90_019320	BgiBS90_038285	66	12	3	18.2%	4.5%	.	iBS90_Bu
2011	CM074204.1	30500001	32500000	BgiBS90_013800	BgiBS90_038285	57	11	3	19.3%	5.3%	.	iBS90_Bu
2012	CM074204.1	31000001	33000000	BgiBS90_013800	BgiBS90_033797	68	12	5	17.6%	7.4%	.	iBS90_Bu
2013	CM074204.1	31500001	33500000	BgiBS90_013800	BgiBS90_033778	68	12	6	17.6%	8.8%	.	iBS90_Bu
2014	CM074204.1	32000001	34000000	BgiBS90_013800	BgiBS90_033763	80	16	7	20%	8.7%	.	iBS90_Bu
2015	CM074204.1	32500001	34500000	BgiBS90_001305	BgiBS90_037657	97	13	6	13.4%	6.2%	.	iBS90_Bu
2016	CM074204.1	33000001	35000000	BgiBS90_001305	BgiBS90_037657	96	16	5	16.7%	5.2%	.	iBS90_Bu
2017	CM074204.1	33500001	35500000	BgiBS90_001305	BgiBS90_037657	99	14	3	14.1%	3%	.	iBS90_Bu
2018	CM074204.1	34000001	36000000	BgiBS90_001305	BgiBS90_037657	97	12	3	12.4%	3.1%	.	iBS90_Bu
2019	CM074204.1	34500001	36500000	BgiBS90_013895	BgiBS90_035766	87	13	3	14.9%	3.4%	.	iBS90_Bu
2020	CM074204.1	35000001	37000000	BgiBS90_013921	BgiBS90_035766	80	9	3	11.3%	3.7%	.	iBS90_Bu
2021	CM074204.1	35500001	37500000	BgiBS90_013944	BgiBS90_032281	82	9	4	11%	4.9%	.	iBS90_Bu
2022	CM074204.1	36000001	38000000	BgiBS90_013968	BgiBS90_014064	87	11	6	12.6%	6.9%	.	iBS90_Bu
2023	CM074204.1	36500001	38500000	BgiBS90_013990	BgiBS90_014087	92	17	10	18.5%	10.9%	.	iBS90_Bu
2024	CM074204.1	37000001	39000000	BgiBS90_014012	BgiBS90_014105	94	16	10	17%	10.6%	.	iBS90_Bu
2025	CM074204.1	37500001	39500000	BgiBS90_014038	BgiBS90_018836	94	19	12	20.2%	12.8%	.	iBS90_Bu
2026	CM074204.1	38000001	40000000	BgiBS90_014065	BgiBS90_018836	91	18	11	19.8%	12.1%	.	iBS90_Bu
2027	CM074204.1	38500001	40500000	BgiBS90_014088	BgiBS90_018836	90	14	9	15.6%	10%	.	iBS90_Bu
2028	CM074204.1	39000001	41000000	BgiBS90_014105	BgiBS90_018836	95	16	10	16.8%	10.5%	.	iBS90_Bu
2029	CM074204.1	39500001	41500000	BgiBS90_014130	BgiBS90_014219	90	16	8	17.8%	8.9%	.	iBS90_Bu
2030	CM074204.1	40000001	42000000	BgiBS90_014154	BgiBS90_032574	89	17	7	19.1%	7.9%	.	iBS90_Bu
2031	CM074204.1	40500001	42500000	BgiBS90_005862	BgiBS90_032574	82	16	4	19.5%	4.9%	.	iBS90_Bu
2032	CM074204.1	41000001	43000000	BgiBS90_005862	BgiBS90_032574	88	15	4	17%	4.5%	.	iBS90_Bu
2033	CM074204.1	41500001	43500000	BgiBS90_005862	BgiBS90_032574	97	14	4	14.4%	4.1%	.	iBS90_Bu
2034	CM074204.1	42000001	44000000	BgiBS90_003309	BgiBS90_014347	99	10	4	10.1%	4%	.	iBS90_Bu
2035	CM074204.1	42500001	44500000	BgiBS90_003309	BgiBS90_014365	101	11	6	10.9%	5.9%	.	iBS90_Bu
2036	CM074204.1	43000001	45000000	BgiBS90_003309	BgiBS90_014396	104	22	4	21.2%	3.8%	.	iBS90_Bu
2037	CM074204.1	43500001	45500000	BgiBS90_003309	BgiBS90_014418	96	26	3	27.1%	3.1%	.	iBS90_Bu
2038	CM074204.1	44000001	46000000	BgiBS90_014347	BgiBS90_014453	107	30	4	28%	3.7%	.	iBS90_Bu
2039	CM074204.1	44500001	46500000	BgiBS90_014366	BgiBS90_014478	113	25	1	22.1%	0.9%	.	iBS90_Bu
2040	CM074204.1	45000001	47000000	BgiBS90_014397	BgiBS90_036256	112	16	3	14.3%	2.7%	.	iBS90_Bu
2041	CM074204.1	45500001	47500000	BgiBS90_014419	BgiBS90_036256	111	14	5	12.6%	4.5%	.	iBS90_Bu
2042	CM074204.1	46000001	48000000	BgiBS90_014454	BgiBS90_036256	98	14	4	14.3%	4.1%	.	iBS90_Bu
2043	CM074204.1	46500001	48500000	BgiBS90_014478	BgiBS90_036256	100	19	7	19%	7%	.	iBS90_Bu
2044	CM074204.1	47000001	49000000	BgiBS90_014507	BgiBS90_014607	92	16	6	17.4%	6.5%	.	iBS90_Bu
2045	CM074204.1	47500001	49500000	BgiBS90_014529	BgiBS90_014636	96	15	5	15.6%	5.2%	.	iBS90_Bu
2046	CM074204.1	48000001	50000000	BgiBS90_014551	BgiBS90_014656	90	15	5	16.7%	5.6%	.	iBS90_Bu
2047	CM074204.1	48500001	50500000	BgiBS90_014581	BgiBS90_036426	83	13	3	15.7%	3.6%	.	iBS90_Bu
2048	CM074204.1	49000001	51000000	BgiBS90_013080	BgiBS90_036426	73	11	2	15.1%	2.7%	.	iBS90_Bu
2049	CM074204.1	49500001	51500000	BgiBS90_006628	BgiBS90_036426	61	7	1	11.5%	1.6%	.	iBS90_Bu
2050	CM074204.1	50000001	52000000	BgiBS90_006628	BgiBS90_036961	68	10	2	14.7%	2.9%	.	iBS90_Bu
2051	CM074204.1	50500001	52500000	BgiBS90_006628	BgiBS90_036961	63	9	3	14.3%	4.8%	.	iBS90_Bu
2052	CM074204.1	51000001	53000000	BgiBS90_006628	BgiBS90_036961	64	12	3	18.8%	4.7%	.	iBS90_Bu
2053	CM074204.1	51500001	53500000	BgiBS90_014714	BgiBS90_036961	69	12	3	17.4%	4.3%	.	iBS90_Bu
2054	CM074204.1	52000001	54000000	BgiBS90_014737	BgiBS90_014824	70	12	4	17.1%	5.7%	.	iBS90_Bu
2055	CM074204.1	52500001	54500000	BgiBS90_014762	BgiBS90_014853	78	13	4	16.7%	5.1%	.	iBS90_Bu
2056	CM074204.1	53000001	55000000	BgiBS90_014774	BgiBS90_014871	81	13	6	16%	7.4%	.	iBS90_Bu
2057	CM074204.1	53500001	55500000	BgiBS90_014797	BgiBS90_036747	76	18	7	23.7%	9.2%	.	iBS90_Bu
2058	CM074204.1	54000001	56000000	BgiBS90_014825	BgiBS90_036747	75	17	8	22.7%	10.7%	.	iBS90_Bu
2059	CM074204.1	54500001	56500000	BgiBS90_001506	BgiBS90_038069	75	14	7	18.7%	9.3%	.	iBS90_Bu
2060	CM074204.1	55000001	57000000	BgiBS90_001506	BgiBS90_038069	79	13	6	16.5%	7.6%	X	iBS90_Bu
2061	CM074205.1	1	2000000	BgiBS90_002875	BgiBS90_038106	80	11	9	13.8%	11.3%	.	iBS90_Bu
2062	CM074205.1	500001	2500000	BgiBS90_002875	BgiBS90_038106	87	20	9	23%	10.3%	.	iBS90_Bu
2063	CM074205.1	1000001	3000000	BgiBS90_001329	BgiBS90_036205	80	22	10	27.5%	12.5%	.	iBS90_Bu
2064	CM074205.1	1500001	3500000	BgiBS90_001329	BgiBS90_033619	82	19	8	23.2%	9.8%	.	iBS90_Bu
2065	CM074205.1	2000001	4000000	BgiBS90_001329	BgiBS90_033645	94	25	10	26.6%	10.6%	.	iBS90_Bu
2066	CM074205.1	2500001	4500000	BgiBS90_001329	BgiBS90_033664	86	18	9	20.9%	10.5%	.	iBS90_Bu
2067	CM074205.1	3000001	5000000	BgiBS90_001425	BgiBS90_033685	85	16	6	18.8%	7.1%	.	iBS90_Bu
2068	CM074205.1	3500001	5500000	BgiBS90_001425	BgiBS90_033703	79	18	9	22.8%	11.4%	.	iBS90_Bu
2069	CM074205.1	4000001	6000000	BgiBS90_002544	BgiBS90_033728	72	12	5	16.7%	6.9%	.	iBS90_Bu
2070	CM074205.1	4500001	6500000	BgiBS90_002544	BgiBS90_033746	70	10	6	14.3%	8.6%	.	iBS90_Bu
2071	CM074205.1	5000001	7000000	BgiBS90_002544	BgiBS90_033753	69	11	8	15.9%	11.6%	.	iBS90_Bu
2072	CM074205.1	5500001	7500000	BgiBS90_019548	BgiBS90_035596	73	12	5	16.4%	6.8%	.	iBS90_Bu
2073	CM074205.1	6000001	8000000	BgiBS90_019548	BgiBS90_035596	72	16	9	22.2%	12.5%	.	iBS90_Bu
2074	CM074205.1	6500001	8500000	BgiBS90_027088	BgiBS90_035596	82	15	8	18.3%	9.8%	.	iBS90_Bu
